Solar Radiation (W/m²),Wind Speed (m/s),Temperature (°C),Humidity (%),Air Pressure (hPa),Solar Power Output (kW),Wind Power Output (kW)
437.0861069626262,5.4431902921268716,3.085284186795299,70.54326947880082,1014.3991756567185,82.76817775642144,69.29099122939762
955.6428757689246,14.005622737080596,2.3489399535999915,81.7013257472235,1061.0864658599974,188.58997286700892,918.911918238358
758.7945476302646,21.9507000610338,35.312729026051834,32.54211089132491,1052.0321859580317,178.6617724098867,5018.362650707029
638.792635777333,18.573397273829467,2.4773099924753055,66.23866896462991,930.7799809387548,117.53812516130519,2707.8676106014077
240.41677639819287,20.357467548674794,3.5974863064315503,61.45713848293738,929.8498939482948,56.970353841553596,2796.2576904861767
240.3950683025824,16.810800801057216,27.969913120898184,84.9547339109444,953.6348735489827,38.177968500832456,2339.606823259255
152.27525095137952,17.61463754842846,12.486992122526999,91.54783544331345,972.2149452682074,34.6700053391653,2206.2307615996915
879.5585311974417,21.380695637567662,28.83552784775906,11.094109432964812,981.6911162816965,206.48055480456546,3074.653461035048
641.0035105688879,6.992032212620463,-6.731692121780738,70.66179271529134,1035.9394433666691,107.80510196054614,145.40308724592904
737.2653200164409,12.746199127435371,14.378559683669216,14.665221920775611,911.3360864331671,142.31775539320174,726.1114476710607
118.52604486622221,6.309026603670453,-8.319319990835869,59.39727985696203,906.9345408452133,19.74051010164674,115.70223805642466
972.9188669457949,24.704032191919527,-6.867339827232274,35.88694561393104,978.3821125887819,214.6846788978967,6988.977204028933
849.1983767203795,23.65742415247872,35.321872667220546,37.60989395699271,1039.4327384275962,172.84140206994064,6564.470013195298
291.10519961044855,1.9462434728441416,-3.037731444120242,41.76626531071209,938.6870685912966,62.16037290763769,2.9515984420561727
263.64247048639055,17.933804140376523,16.621034113760857,65.9163204144649,1028.3008962512504,44.72660151162991,2255.1967943762756
265.06405886809046,23.205959617975978,10.554780130035326,40.06449691018923,951.9656275880599,45.372230594627275,5632.243898711903
373.8180186635839,5.333808283056005,7.367166312942135,75.94291455312523,1077.2172217627033,57.62394759973269,49.5436026240524
572.280788469014,14.630685533263108,34.99166728436362,46.40746470164827,1079.1379888533233,104.27342456856051,1282.1060240917493
488.7505167779042,22.971719142113002,-8.908830161225525,16.151788027896274,959.4574408562653,100.6701267657363,4960.993663054675
362.1062261782377,1.8147034860591722,23.189484308779456,80.53838582356966,945.9987507926481,85.38229132814803,1.8997664109444847
650.6676052501415,17.738086413924158,38.16972171067752,35.71824921334354,982.2607944132462,140.99494929887416,2140.8946350750034
225.54447458683765,8.13637617694122,18.008409173092097,48.949019163933635,948.1063170360297,43.651794687849424,253.51142922011476
362.93018368169635,23.18550868903673,36.84112310165459,71.68994948997113,1034.4767686583407,89.03113337103284,5873.317587588366
429.7256589643225,24.305397883968826,-7.387106035698812,39.92105414338408,1065.2129369096572,95.36666062208594,4592.52162712991
510.4629857953323,23.662395738722413,10.939665953708069,15.092709053204405,1034.6184261822434,124.05093854291367,4215.02464526848
806.6583652537122,12.38114119977913,3.0078895481025576,43.652894231153226,1064.87008944987,163.55707999278127,669.0973584321071
